year,start_station_name,num_rides
2015,"Abbey Orchard Street, Westminster",17186
2015,"Abbotsbury Road, Holland Park",4057
2015,"Aberdeen Place, St. John's Wood",7989
2015,"Aberfeldy Street, Poplar",955
2015,"Abingdon Green, Great College Street",4669
2015,"Abingdon Green, Westminster",13278
2015,"Abingdon Villas, Kensington",8034
2015,"Abyssinia Close, Clapham Junction",4241
2015,"Ackroyd Drive, Bow",3575
2015,"Ada Street, Hackney Central",13295
2015,"Addison Road, Holland Park",4634
2015,"Aintree Street, Fulham",8887
2015,"Albany Street, Regent's Park",3242
2015,"Albany Street, The Regent's Park",8607
2015,"Albert Bridge Road, Battersea Park",13172
2015,"Albert Embankment, Vauxhall",10528
2015,"Albert Gardens, Stepney",11527
2015,"Albert Gate, Hyde Park",66547
2015,"Alderney Street, Pimlico",12512
2015,"Aldersgate Street, Barbican",27092
2015,"Alfred Place, Bloomsbury",16290
2015,"Alfreda Street, Battersea Park",8094
2015,"All Saints Church, Portobello",16100
2015,"All Saints' Road, Portobello",9579
2015,"Alma Road, Wandsworth",4443
2015,"Alpha Grove, Millwall",3660
2015,"Altab Ali Park, Whitechapel",1977
2015,"Ampton Street , Clerkenwell",12039
2015,"Antill Road, Mile End",8204
2015,"Appold Street, Liverpool Street",13157
2015,"Archbishop's Park, Waterloo",11856
2015,"Argyll Road, Kensington",8904
2015,"Arlington Road, Camden Town",10665
2015,"Ashley Crescent, Battersea",7836
2015,"Ashley Place, Victoria",25746
2015,"Ashmole Estate, Oval",6861
2015,"Aston Street, Stepney",4674
2015,"Austin Road, Battersea",3184
2015,"Austin Road, Battersea Park",7988
2015,"Aylward Street, Stepney",8006
2015,"BBC White City, White City",6884
2015,"Baker Street, Marylebone",10379
2015,"Baldwin Street, St. Luke's",10645
2015,"Bancroft Road, Bethnal Green",9165
2015,"Bank of England Museum, Bank",21142
2015,"Bankside Mix, Bankside",35714
2015,"Barbican Centre, Barbican",12347
2015,"Barons Court Station, West Kensington",13813
2015,"Bath Street, St. Luke's",22434
2015,"Battersea Church Road, Battersea",9201
2015,"Battersea Park Road, Nine Elms",6997
2015,"Bayley Street , Bloomsbury",19580
2015,"Baylis Road, Waterloo",26226
2015,"Bayswater Road, Hyde Park",33827
2015,"Beaumont Street, Marylebone",14364
2015,"Bedford Way, Bloomsbury",11528
2015,"Belford House, Haggerston",7387
2015,"Belgrave Road, Victoria",20712
2015,"Belgrave Square, Belgravia",8253
2015,"Belgrove Street , King's Cross",91532
2015,"Bell Lane, Liverpool Street",12441
2015,"Bell Street , Marylebone",12717
2015,"Belvedere Road, South Bank",25486
2015,"Bermondsey Street, Bermondsey",25055
2015,"Berry Street, Clerkenwell",26248
2015,"Beryl Road, Hammersmith",8689
