year,bikes_count,docks_count,name
,48,51,"East India DLR, Blackwall"
2013,39,39,"Teversham Lane, Stockwell"
2010,0,0,"Bank of England Museum, Bank"
2010,14,14,"Colombo Street, Southwark"
2010,15,16,"Pancras Road, King's Cross"
,15,16,"Tachbrook Street, Victoria"
2011,15,15,"Waterloo Bridge, South Bank"
2012,15,16,"Hermitage Court, Wapping"
2010,16,16,"St. George's Square, Pimlico"
2016,16,18,"The Metropolitan, Portobello"
2010,18,19,"Warwick Avenue Station, Maida Vale"
2010,18,19,"Warwick Square, Pimlico"
2012,18,19,"Hewison Street, Old Ford"
2012,18,18,"Ford Road, Old Ford"
2010,19,20,"Walnut Tree Walk, Vauxhall"
2010,20,21,"Ampton Street , Clerkenwell"
2012,21,22,"Rectory Square, Stepney"
2013,22,22,"Cadogan Close, Victoria Park"
2015,23,24,"Halford Road, West Kensington"
2010,24,24,"West Cromwell Road, Earl's Court"
,24,27,"Goldsmith's Row, Haggerston"
,24,27,"Watney Street, Shadwell"
2013,26,27,"Richmond Way, Shepherd's Bush"
2013,26,27,"Crabtree Lane, Fulham"
2016,28,30,"Ossulston Street, Somers Town"
2012,29,30,"Pritchard's Road, Bethnal Green"
2013,30,31,"Everington Street, Fulham"
2010,34,35,"LSBU (Borough Road), Elephant & Castle"
2012,35,35,"Saunders Ness Road, Cubitt Town"
2020,35,35,"Canada Water Station, Rotherhithe"
2010,42,43,"Knightsbridge, Hyde Park"
,36,41,"Westferry DLR, Limehouse"
2013,44,45,"Ada Street, Hackney Central"
2010,14,15,"Waterloo Road, South Bank"
2010,15,16,"Commercial Street, Shoreditch"
2010,15,19,"Vincent Square, Westminster"
2013,15,16,"Buckingham Gate, Westminster"
2010,16,18,"Park Street, Bankside"
2010,16,17,"Abingdon Villas, Kensington"
2013,16,18,"Knaresborough Place, Earl's Court"
2010,16,17,"Lower Marsh, Waterloo"
2016,16,28,"Gauden Road, Clapham"
,17,18,"Bishop's Bridge Road West, Bayswater"
2012,17,18,"New Cavendish Street, Marylebone"
2022,17,19,"London Street, Paddington"
2010,19,21,"Hampton Street, Walworth"
2011,19,20,"Crinan Street, King's Cross"
2012,19,21,"Malmesbury Road, Bow"
2013,19,21,"Elysium Place, Fulham"
2011,21,24,"Brick Lane Market, Shoreditch"
