year,bikes_count,docks_count,name,Borough
,48,51,"East India DLR, Blackwall",Tower Hamlets
2013.0,39,39,"Teversham Lane, Stockwell",Lambeth
2010.0,0,0,"Bank of England Museum, Bank",Unknown
2010.0,14,14,"Colombo Street, Southwark",Southwark
2010.0,15,16,"Pancras Road, King's Cross",Camden
,15,16,"Tachbrook Street, Victoria",Unknown
2011.0,15,15,"Waterloo Bridge, South Bank",Lambeth
2012.0,15,16,"Hermitage Court, Wapping",Tower Hamlets
2010.0,16,16,"St. George's Square, Pimlico",Unknown
2016.0,16,18,"The Metropolitan, Portobello",Unknown
2010.0,18,19,"Warwick Avenue Station, Maida Vale",Unknown
2010.0,18,19,"Warwick Square, Pimlico",Unknown
2012.0,18,19,"Hewison Street, Old Ford",Unknown
2012.0,18,18,"Ford Road, Old Ford",Unknown
2010.0,19,20,"Walnut Tree Walk, Vauxhall",Lambeth
2010.0,20,21,"Ampton Street , Clerkenwell",Camden
2012.0,21,22,"Rectory Square, Stepney",Tower Hamlets
2013.0,22,22,"Cadogan Close, Victoria Park",Unknown
2015.0,23,24,"Halford Road, West Kensington",Hammersmith & Fulham
2010.0,24,24,"West Cromwell Road, Earl's Court",Unknown
,24,27,"Goldsmith's Row, Haggerston",Unknown
,24,27,"Watney Street, Shadwell",Unknown
2013.0,26,27,"Richmond Way, Shepherd's Bush",Hammersmith & Fulham
2013.0,26,27,"Crabtree Lane, Fulham",Hammersmith & Fulham
2016.0,28,30,"Ossulston Street, Somers Town",Camden
2012.0,29,30,"Pritchard's Road, Bethnal Green",Tower Hamlets
2013.0,30,31,"Everington Street, Fulham",Hammersmith & Fulham
2010.0,34,35,"LSBU (Borough Road), Elephant & Castle",Southwark
2012.0,35,35,"Saunders Ness Road, Cubitt Town",Unknown
2020.0,35,35,"Canada Water Station, Rotherhithe",Southwark
2010.0,42,43,"Knightsbridge, Hyde Park",Unknown
,36,41,"Westferry DLR, Limehouse",Unknown
2013.0,44,45,"Ada Street, Hackney Central",Hackney
